action,id,name,slug,image_filename,image_size,reason,new_slug
DEACTIVATE,4060,MN-Veteran-Silver Star,mn-veteran-silver-star,mn-veteran-silver-star.jpg,22227,new image larger (128885 vs 22227 bytes),
KEEP,12298,MN - Veteran Vietnam,mn-veteran-vietnam-v1,mn-veteran-vietnam.png,126135,new image larger (126135 vs 23976 bytes),mn-veteran-vietnam
DEACTIVATE,4062,MN-Veteran-Vietnam,mn-veteran-vietnam,mn-veteran-vietnam.jpg,23976,new image larger (126135 vs 23976 bytes),
KEEP,12296,MN - Veteran Vietnam Motorcycle,mn-veteran-vietnam-motorcycle-v1,mn-veteran-vietnam-motorcycle.png,98892,new image larger (98892 vs 31077 bytes),mn-veteran-vietnam-motorcycle
DEACTIVATE,4063,MN-Veteran-Vietnam-Motorcycle,mn-veteran-vietnam-motorcycle,mn-veteran-vietnam-motorcycle.jpg,31077,new image larger (98892 vs 31077 bytes),
KEEP,12300,MN - Veteran Woman Vet,mn-veteran-woman-vet-v1,mn-veteran-woman-vet.png,139142,new image larger (139142 vs 26766 bytes),mn-veteran-woman-vet
DEACTIVATE,4066,MN-Veteran-Woman Vet,mn-veteran-woman-vet,mn-veteran-woman-vet.jpg,26766,new image larger (139142 vs 26766 bytes),
KEEP,12299,MN - Veteran Woman Vet Motorcycle,mn-veteran-woman-vet-motorcycle-v1,mn-veteran-woman-vet-motorcycle.png,103853,new image larger (103853 vs 23656 bytes),mn-veteran-woman-vet-motorcycle
DEACTIVATE,4067,MN-Veteran-Woman Vet-Motorcycle,mn-veteran-woman-vet-motorcycle,mn-veteran-woman-vet-motorcycle.jpg,23656,new image larger (103853 vs 23656 bytes),
KEEP,12167,MN - Volunteer Ambulance Attendant,mn-volunteer-ambulance-attendant-v1,mn-volunteer-ambulance-attendant.png,25763,"equal size (25763 bytes) — new uses preferred "" - "" format",mn-volunteer-ambulance-attendant
DEACTIVATE,4068,MN-Volunteer Ambulance Attendant,mn-volunteer-ambulance-attendant,mn-volunteer-ambulance-attendant.jpg,25763,"equal size (25763 bytes) — new uses preferred "" - "" format",
KEEP,12429,MO - Air Force,mo-air-force-v1,mo-air-force.png,29061,"equal size (29061 bytes) — new uses preferred "" - "" format",mo-air-force
DEACTIVATE,4185,MO-Air Force,mo-air-force,mo-air-force.gif,29061,"equal size (29061 bytes) — new uses preferred "" - "" format",
KEEP,12430,MO - Air Medal,mo-air-medal-v1,mo-air-medal.png,29607,"equal size (29607 bytes) — new uses preferred "" - "" format",mo-air-medal
DEACTIVATE,4186,MO-Air Medal,mo-air-medal,mo-air-medal.gif,29607,"equal size (29607 bytes) — new uses preferred "" - "" format",
KEEP,12306,MO - Alpha Kappa Alpha,mo-alpha-kappa-alpha-v1,mo-alpha-kappa-alpha.png,22580,"equal size (22580 bytes) — new uses preferred "" - "" format",mo-alpha-kappa-alpha
DEACTIVATE,4072,MO-Alpha Kappa Alpha,mo-alpha-kappa-alpha,mo-alpha-kappa-alpha.gif,22580,"equal size (22580 bytes) — new uses preferred "" - "" format",
KEEP,12307,MO - Alpha Phi Alpha,mo-alpha-phi-alpha-v1,mo-alpha-phi-alpha.png,23637,"equal size (23637 bytes) — new uses preferred "" - "" format",mo-alpha-phi-alpha
DEACTIVATE,4073,MO-Alpha Phi Alpha,mo-alpha-phi-alpha,mo-alpha-phi-alpha.gif,23637,"equal size (23637 bytes) — new uses preferred "" - "" format",
KEEP,12422,MO - Amateur Radio,mo-amateur-radio-v1,mo-amateur-radio.png,36917,"equal size (36917 bytes) — new uses preferred "" - "" format",mo-amateur-radio
DEACTIVATE,4146,MO-Amateur Radio,mo-amateur-radio,mo-amateur-radio.gif,36917,"equal size (36917 bytes) — new uses preferred "" - "" format",
